id,timestamp,location_timestamp,sim_id,technology,band,ul_arfcn,dl_arfcn,code,ul_bw,dl_bw,plmn_id,lac,rac,cell_id,param1,param2,param3,param4,param5,info,lifetime,source_id,frame_type,node_id,is_synced
173410,73603660693635072,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10518,3,0,0,0
173411,73603661068839431,,0,4,-1.0,18450.0,450,489.0,10,10,43211,44200,,23055639,,,,,,,8186,1,45250,0,0
173412,73603661244399616,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,2278,3,0,0,0
173413,73603661720846336,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,9087,3,0,0,0
173414,73603662279213056,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10651,3,0,0,0
173415,73603662829912064,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10533,3,0,0,0
173416,73603663380480000,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10479,3,0,0,0
173417,73603663852470272,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,9027,3,0,0,0
173418,73603664403103744,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10475,3,0,0,0
173419,73603664954916864,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10521,3,0,0,0
173420,73603665426776064,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,8997,3,0,0,0
173421,73603665977540608,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10518,3,0,0,0
173422,73603666376657702,,0,4,-1.0,18450.0,450,489.0,10,10,43211,44200,,23055639,,,,,,,8720,1,45250,0,0
173423,73603666528305152,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,1771,3,0,0,0
173424,73603667000295424,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,9021,3,0,0,0
173425,73603667550863360,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10487,3,0,0,0
173426,73603668101431296,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,11687,3,0,0,0
173427,73603668613660672,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,8588,3,0,0,0
173428,73603669085716480,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,9001,3,0,0,0
173429,73603669657780224,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10922,3,0,0,0
173430,73603670208479232,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10491,3,0,0,0
173431,73603670471259278,,0,4,-1.0,18450.0,450,489.0,10,10,43211,44200,,23055639,,,,,,,6013,1,45250,0,0
173432,73603670681059328,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,2998,3,0,0,0
