number,RSRP,RSSI,RSRQ,SNR,CINR,MOS
891,-120,-82.0,-257.0,8.24438281530897,6.430535739843019,2.613721156113014
892,-116,-85.0,-275.0,5.112104546622663,3.504352710521342,2.900944123713737
893,-86,-67.0,-149.0,16.727583877917755,13.459181849994511,4.02275562541158
894,-120,-84.0,-296.0,7.791662259526286,6.576649683364952,3.022608970627134
895,-99,-66.0,-102.9901369360349,14.044722955738786,10.94382313499176,3.480824963519869
896,-89,-65.0,-158.81228926152087,11.98009588413171,8.725646878332707,4.520167827694378
897,-74,-56.0,-94.0,24.556785006301773,20.22663568215396,4.571705453781108
898,-98,-58.1900781498029,-125.0,15.89394911989095,11.985869571916307,3.837455619191258
899,-103,-82.0,-253.0,9.163521700014817,6.480644746845779,3.4985633173177875
900,-103,-60.0,-160.14484921603471,13.036942767219148,9.403589204605224,3.7000463225169886
901,-108,-76.0,-246.0,9.281121847684851,6.761547179859111,4.2298232038705645
902,-95,-66.0,-115.0,14.06244979916702,10.330798529636544,3.896623602961745
903,-85,-70.0,-162.97253163495486,16.881861260478345,13.449597143654136,3.922083028944651
904,-89,-66.0,-136.0,16.965783527603573,13.495027285043586,4.151180649959899
905,-101,-80.0,-190.0,11.866510644288919,9.321317077948416,4.046596445536178
906,-101,-69.15416162670363,-242.0,9.07085147521666,6.896438985126561,3.788161251768434
907,-113,-72.0,-175.0,9.5119899029154,7.010969500782568,3.255496263810286
908,-89,-62.0,-84.0,19.5745182035401,16.53748571831044,3.891063211183953
909,-110,-68.91651588717143,-215.0,12.455597118372992,10.044257717316558,3.4701933616157263
910,-91,-64.0,-152.0,11.47465729347206,8.183161388074728,4.047294677769772
911,-98,-65.0,-133.0,15.722726606551763,12.619828197347696,3.8609990607756735
912,-98,-68.0,-134.0,14.460821952515753,10.724910136742526,3.581683800054035
913,-96,-70.0,-104.0,15.793821754099186,11.89785177252516,3.757821706329708
914,-107,-75.0,-241.0,9.067697709080123,6.341908727502279,3.731682476142218
915,-102,-64.0,-148.00158558752062,17.710003200886195,14.389653054190992,3.4640709465285355
916,-90,-60.0,-161.02494736971414,13.762561563892817,9.3177429046883,4.425594809578552
917,-99,-60.0,-129.0,15.339628197621554,12.068015125532389,3.614710575611789
918,-100,-76.0,-211.0,11.682106601086668,8.998368655175621,3.3285106916728284
919,-101,-72.0,-104.0,16.307457006206963,12.872278069465253,3.8148379316963457
920,-119,-87.0,-249.0,8.31023224379047,6.363720521733418,2.5727555178323014
921,-108,-82.0,-177.00065096124078,7.909594931879621,6.48667607348199,3.206305352776756
922,-104,-76.0,-182.0,7.60935558063438,5.465193114782165,3.929326690606668
923,-79,-63.0,-90.1058176115978,20.113176460253342,16.511326722819387,3.985548836072829
924,-90,-69.62821194792363,-108.0,15.982094703161774,12.0290337041151,4.241196958330952
925,-85,-59.4345780748166,-117.0,13.113935339036356,10.191416728582569,4.190642242538054
926,-98,-62.0,-119.0,16.221831606437647,12.748301198091404,4.188155536347331
927,-113,-82.79081658181443,-182.0,12.704390216896813,8.788058152435596,3.396882262825886
928,-85,-72.0,-149.0,18.44596691843132,14.143753210696865,4.365246733232866
929,-81,-49.0,-106.0,23.200243205912457,20.80788926600277,4.487890500481911
930,-103,-82.74623761373435,-222.0,11.776857754837563,9.347999564071522,3.46998804297182
931,-93,-66.7130145332781,-150.0,14.326403760918287,10.793396814883348,3.990448375465101
932,-99,-63.0,-120.0,12.131674989516782,9.377049139164242,3.9116997974416994
933,-87,-64.0,-114.0,16.701512747796233,13.05999304398996,4.048511804130259
934,-110,-73.07755488090349,-220.0,10.232427651595454,7.59149369931233,3.622180952491506
935,-96,-60.0,-150.65027023883675,12.878581127741633,8.645164440835234,4.0107011022456005
936,-119,-83.01786268823533,-300.0,7.351747138765426,6.927838164819334,2.9667233215445696
937,-84,-60.0,-93.74670163331483,20.519221718598995,16.66987347719718,3.780075554426504
938,-100,-82.22155438140072,-170.455775064709,8.824418598865416,5.691667202654893,3.7231352716230015
939,-116,-80.89229832019926,-276.0,6.543573782600134,4.638501773604743,3.577454245532268
940,-83,-61.0,-92.0,19.99384895848437,15.518226881332344,4.185684130027437
941,-111,-70.0,-181.0,12.78597865572673,10.339464409991248,3.4569477687287318
942,-102,-72.0,-195.0,8.206147776172443,5.559756306777455,3.5356666810767283
943,-97,-67.0,-124.0,17.84266728869328,13.84893583904477,4.486815928080482
944,-100,-69.01682570612911,-154.0,18.070451203527764,13.706578547195948,3.256038526561418
945,-97,-63.0,-169.14599426898803,14.516396634886563,10.197396597874846,3.678644332126048
946,-89,-59.0,-129.0,13.87170403581736,9.6579526945323,3.806436933112569
947,-110,-67.95578844075061,-195.0,9.36667653134752,7.354697508070382,3.315381425675014
948,-106,-70.0,-211.0,11.604808131026157,8.858488363982008,3.215317283303761
949,-92,-57.50419212126543,-150.0,13.749283531255607,10.76109558845275,3.950480289209685
950,-96,-66.0,-114.0,14.374182234952146,11.212725847626254,3.943558082249612
951,-101,-70.0,-193.0,9.622112629286178,7.210375173290656,3.685956005480098
952,-77,-51.0,-75.0,19.94898265002623,17.03735352684845,3.958360757231045
953,-102,-76.0,-200.0,12.5429445243687,10.347678243172702,3.991779204464509
954,-101,-76.0,-180.0,11.889613058477327,9.823646715044193,3.4172331504132107
955,-88,-68.0,-133.0,16.949250060911417,13.78550401023008,4.075783749298268
956,-114,-76.0,-237.0,7.620240669392665,6.058021718499955,3.1964581108626344
957,-100,-59.0,-105.0,14.832336490208384,10.977115092315664,4.112742197906559
958,-89,-69.49658459565501,-107.0,17.183917868012585,13.939809011621588,4.552960704272127
959,-110,-71.0,-185.0,12.518959353327526,9.383337667339788,3.642615165347134
960,-86,-72.0,-154.0,12.151690589350515,8.817806388664883,4.3350402288020256
961,-108,-82.0,-180.0,12.615601640896529,9.1535099443933,3.5639259865485657
962,-74,-50.0,-74.0,21.51539220944445,17.13017818043662,4.532843163282293
963,-107,-70.0,-216.0,9.03230779314329,6.922520641525211,3.299327490752249
964,-94,-68.0,-124.0,15.820489829729656,12.151942257444771,3.958067288678335
965,-98,-81.48452500761242,-249.0,9.033488545703774,5.413515201084323,4.219851664742902
